,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20
0,Anhui,Mainland China,31.8257,117.2264,1,8.0,6.0,24.0,21.0,10.0,36.0,46.0,48.0,37.0,60.0,43.0,68.0,72.0,50.0,61.0,74.0,68.0,46.0,51.0,30.0,29.0,21.0,24.0,16.0,12.0,11.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Beijing,Mainland China,40.1824,116.4142,14,8.0,14.0,5.0,27.0,12.0,11.0,20.0,3.0,25.0,29.0,23.0,21.0,16.0,25.0,21.0,23.0,18.0,11.0,11.0,5.0,10.0,14.0,6.0,3.0,5.0,1.0,6.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0
2,Chongqing,Mainland China,30.0572,107.874,6,3.0,18.0,30.0,18.0,35.0,22.0,15.0,35.0,29.0,36.0,53.0,37.0,29.0,23.0,22.0,15.0,2.0,40.0,18.0,19.0,13.0,11.0,8.0,7.0,7.0,2.0,2.0,5.0,7.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Fujian,Mainland China,26.0789,117.9874,1,4.0,5.0,8.0,17.0,24.0,21.0,4.0,17.0,19.0,24.0,15.0,20.0,15.0,11.0,10.0,9.0,15.0,11.0,11.0,6.0,5.0,7.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gansu,Mainland China,36.0611,103.8343,0,2.0,0.0,2.0,3.0,7.0,5.0,5.0,2.0,3.0,11.0,11.0,4.0,2.0,5.0,0.0,5.0,12.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,4.0,0.0
5,Guangdong,Mainland China,23.3417,113.4244,26,6.0,21.0,25.0,33.0,40.0,56.0,70.0,77.0,82.0,99.0,97.0,93.0,88.0,82.0,75.0,64.0,61.0,36.0,28.0,18.0,42.0,22.0,20.0,33.0,22.0,6.0,6.0,3.0,1.0,1.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,Guangxi,Mainland China,23.8298,108.7881,2,3.0,18.0,0.0,13.0,10.0,5.0,7.0,20.0,9.0,13.0,11.0,16.0,12.0,11.0,18.0,4.0,11.0,12.0,15.0,5.0,7.0,0.0,4.0,9.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Guizhou,Mainland China,26.8154,106.8748,1,2.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,17.0,0.0,9.0,8.0,12.0,6.0,7.0,10.0,8.0,10.0,10.0,18.0,6.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Hainan,Mainland China,19.1959,109.7453,4,1.0,3.0,11.0,3.0,11.0,7.0,3.0,3.0,6.0,10.0,2.0,8.0,8.0,19.0,7.0,11.0,7.0,7.0,7.0,6.0,13.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Hebei,Mainland China,38.0428,114.5149,1,0.0,1.0,6.0,5.0,5.0,15.0,15.0,17.0,17.0,14.0,8.0,9.0,13.0,9.0,22.0,15.0,23.0,11.0,12.0,21.0,12.0,14.0,18.0,8.0,9.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
